python 5.py                                                                                                                   ✔  24m 56s   relational_reality 
>>> STARTING TOPOLOGICAL BIG BANG (v3.3.5)...
>> Relational Physics v3.3.5 | N=4444 | init edges=0
>> Expansion baseline λE_base=-44.000 | target <k>=7.00
  eq    250/4444444 | <k>=0.00 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.065 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq    500/4444444 | <k>=0.00 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.391 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.16
  eq    750/4444444 | <k>=0.01 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.249 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq   1000/4444444 | <k>=0.01 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.066 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq   1250/4444444 | <k>=0.01 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.093 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.33
  eq   1500/4444444 | <k>=0.01 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.188 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq   1750/4444444 | <k>=0.01 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.073 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq   2000/4444444 | <k>=0.02 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.087 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq   2250/4444444 | <k>=0.02 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.143 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq   2500/4444444 | <k>=0.02 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.044 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq   2750/4444444 | <k>=0.02 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.049 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq   3000/4444444 | <k>=0.03 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.058 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq   3250/4444444 | <k>=0.03 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.050 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq   3500/4444444 | <k>=0.03 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.070 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq   3750/4444444 | <k>=0.03 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.018 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.27
  eq   4000/4444444 | <k>=0.04 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.063 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.29
  eq   4250/4444444 | <k>=0.04 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.001 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq   4500/4444444 | <k>=0.04 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.006 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.13
  eq   4750/4444444 | <k>=0.04 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.057 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq   5000/4444444 | <k>=0.04 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.075 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq   5250/4444444 | <k>=0.04 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.098 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.16
  eq   5500/4444444 | <k>=0.05 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.088 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.25
  eq   5750/4444444 | <k>=0.05 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.055 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq   6000/4444444 | <k>=0.05 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.041 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq   6250/4444444 | <k>=0.05 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.008 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.30
  eq   6500/4444444 | <k>=0.06 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.009 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.09
  eq   6750/4444444 | <k>=0.06 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.014 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.09
  eq   7000/4444444 | <k>=0.06 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.021 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.30
  eq   7250/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.009 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.36
  eq   7500/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.026 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq   7750/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.024 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq   8000/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.025 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq   8250/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.009 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq   8500/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.018 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq   8750/4444444 | <k>=0.07 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.005 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq   9000/4444444 | <k>=0.08 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.044 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.27
  eq   9250/4444444 | <k>=0.08 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.046 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq   9500/4444444 | <k>=0.08 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.027 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.11
  eq   9750/4444444 | <k>=0.08 | tri#=     0 | Re(loop)=0.000 | d=1 corr=0.004 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq  10000/4444444 | <k>=0.08 | tri#=     0 | Re(loop)=0.000 | d=1 corr=-0.006 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.06
  eq  10250/4444444 | <k>=0.09 | tri#=     1 | Re(loop)=-0.041 | d=1 corr=-0.007 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.22
  eq  10500/4444444 | <k>=0.09 | tri#=     1 | Re(loop)=-0.041 | d=1 corr=-0.012 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.27
