k,T,lb,n_N,N_max,lcc_pct,lcc_src,transitivity,uv_shoulder,ir_plateau,ir_flatness,uv_conf,uv_resid_vs_4Dtorus,ir_resid_vs_4Dtorus,flat_score,flow_score,ir_dir,uv_dir,flat_dir,verdict,N_list
8,0.0,0.995,3,256000,99.8,meta,0.0610,2.157,3.891,0.188,in_window,-0.008,-0.157,72.8,0.7,flat,flat,down,FLAT-4D (73),16000;64000;256000
9,0.0,0.995,3,256000,100.0,meta,0.0513,2.127,4.446,0.479,in_window,0.040,0.044,55.4,0.0,flat,flat,up,weak (flat 55),16000;64000;256000
10,0.004,0.99,1,16000,100.0,meta,0.1040,2.171,4.242,0.152,in_window,0.085,-0.257,49.1,0.0,?,?,?,weak (flat 49),16000
10,0.001,0.99,1,16000,100.0,meta,0.1842,2.144,2.977,0.466,in_window,0.123,-0.023,34.0,0.0,?,?,?,neither,16000
11,0.005,0.995,3,256000,100.0,meta,0.0913,2.214,3.634,0.341,in_window,0.125,-0.353,32.6,0.0,flat,flat,up,neither,16000;64000;256000
9,0.004,0.99,1,16000,100.0,meta,0.1493,2.139,3.141,0.385,in_window,0.055,-0.223,26.6,0.0,?,?,?,neither,16000
11,0.001,0.99,1,16000,100.0,meta,0.1333,2.163,3.995,0.212,in_window,0.128,-0.432,22.1,0.0,?,?,?,neither,16000
9,0.001,0.99,1,16000,100.0,meta,0.1343,2.145,3.375,0.312,in_window,0.049,-0.459,20.9,0.0,?,?,?,neither,16000
8,0.004,0.99,1,16000,99.8,meta,0.1376,2.106,3.033,0.387,in_window,-0.006,0.137,19.8,0.2,?,?,?,neither,16000
4,0.03,0.999,2,64000,99.0,meta,0.0190,1.944,3.867,0.891,in_window,-0.290,0.334,11.0,19.0,up,flat,up,neither,16000;64000
8,0.005,0.999,3,256000,99.9,meta,0.0083,2.143,1.795,1.167,in_window,0.036,-0.704,10.8,0.0,down,flat,up,neither,16000;64000;256000
9,0.005,0.999,3,256000,99.9,meta,0.0076,2.225,2.396,1.897,in_window,0.090,0.257,10.7,0.0,down,flat,up,neither,16000;64000;256000
8,0.001,0.999,1,16000,99.2,meta,0.0249,2.184,4.298,0.995,in_window,0.029,0.069,9.7,0.0,?,?,?,neither,16000
9,0.004,0.999,1,16000,99.3,meta,0.0223,2.211,5.385,0.771,in_window,0.080,0.887,9.1,0.0,?,?,?,neither,16000
7,0.001,0.999,1,16000,98.7,meta,0.0300,2.124,3.301,0.905,in_window,-0.023,-0.682,7.5,0.5,?,?,?,neither,16000
5,0.005,0.999,3,256000,97.7,meta,0.0332,2.029,2.520,0.451,in_window,-0.161,-0.540,7.4,2.0,up,flat,flat,neither,16000;64000;256000
7,0.016,0.999,1,16000,98.8,meta,0.0260,2.118,4.133,0.822,in_window,-0.025,-0.030,6.4,0.5,?,?,?,neither,16000
5,0.016,0.999,1,16000,90.9,meta,0.0804,2.008,1.692,0.394,in_window,-0.144,-0.561,5.0,0.6,?,?,?,neither,16000
9,0.005,0.99,3,256000,100.0,meta,0.1067,2.117,5.008,0.234,in_window,0.064,0.907,2.9,0.0,up,flat,flat,neither,16000;64000;256000
7,0.015,0.999,3,256000,99.9,meta,0.0078,2.147,2.385,1.542,in_window,-0.022,0.108,2.5,0.2,down,flat,up,neither,16000;64000;256000
12,0.004,0.995,1,16000,100.0,meta,0.0986,2.245,3.697,0.340,in_window,0.165,-0.626,2.0,0.0,?,?,?,neither,16000
5,0.015,0.999,3,256000,98.2,meta,0.0275,2.011,2.541,0.369,in_window,-0.154,-0.588,1.9,0.5,up,flat,flat,neither,16000;64000;256000
10,0.005,0.995,3,256000,99.8,meta,0.1069,2.136,3.062,0.468,in_window,0.078,-0.662,1.7,0.0,flat,flat,up,neither,16000;64000;256000
8,0.004,0.999,1,16000,99.0,meta,0.0247,2.188,5.051,0.832,in_window,0.030,0.605,1.6,0.0,?,?,?,neither,16000
7,0.0,0.995,3,256000,99.8,meta,0.0724,2.098,3.181,0.252,in_window,-0.055,-0.633,0.4,0.0,flat,flat,up,neither,16000;64000;256000
10,0.001,0.95,1,16000,100.0,meta,0.1435,2.188,5.247,0.569,in_window,0.107,2.223,0.0,0.0,?,?,?,neither,16000
10,0.001,0.995,1,16000,99.6,meta,0.1544,2.149,2.278,0.446,in_window,0.079,-1.495,0.0,0.0,?,?,?,neither,16000
10,0.001,0.999,1,16000,99.4,meta,0.0162,2.239,6.673,0.640,in_window,0.136,2.705,0.0,0.0,?,?,?,neither,16000
10,0.004,0.95,1,16000,100.0,meta,0.1128,2.193,5.571,0.670,in_window,0.105,2.580,0.0,0.0,?,?,?,neither,16000
10,0.004,0.995,1,16000,99.8,meta,0.1610,2.144,2.200,0.422,in_window,0.079,-1.531,0.0,0.0,?,?,?,neither,16000
10,0.004,0.999,1,16000,99.4,meta,0.0154,2.234,6.721,0.635,in_window,0.135,2.817,0.0,0.0,?,?,?,neither,16000
10,0.005,0.95,3,256000,100.0,meta,0.0947,2.197,6.306,1.154,in_window,0.112,5.254,0.0,0.0,flat,flat,up,neither,16000;64000;256000
10,0.005,0.999,3,256000,99.9,meta,0.0060,2.224,8.472,1.416,in_window,0.151,5.435,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.005,0.99,3,256000,100.0,meta,0.0947,2.149,5.382,0.297,in_window,0.129,1.798,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.95,3,256000,100.0,meta,0.0004,2.205,7.156,1.717,in_window,0.119,7.310,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.995,3,256000,100.0,meta,0.0027,2.166,6.771,1.701,in_window,0.110,7.140,0.0,0.0,flat,flat,up,neither,16000;64000;256000
10,0.015,0.999,3,256000,100.0,meta,0.0036,2.222,7.574,1.675,in_window,0.153,7.201,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.99,3,256000,100.0,meta,0.0019,2.175,7.036,1.711,in_window,0.111,7.191,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.9,3,256000,100.0,meta,0.0002,2.218,7.064,1.666,in_window,0.123,7.094,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.016,0.95,1,16000,100.0,meta,0.0027,2.179,5.852,1.239,in_window,0.103,4.433,0.0,0.0,?,?,?,neither,16000
