k,T,lb,N,seed,d_s_local,dip_t,has_dip,n_peaks
10,0.0,0.95,1000,42,3.7917003188405793,nan,False,0
10,0.0,0.95,1000,43,3.7404283768115945,nan,False,0
10,0.0,0.95,1000,44,3.751134120567376,nan,False,0
10,0.0,0.95,1000,45,3.7208114680851065,nan,False,2
10,0.0,0.95,1000,46,3.719971510638298,nan,False,2
10,0.0,0.995,1000,42,4.071292944444444,nan,False,0
10,0.0,0.99,1000,42,4.051956111111112,nan,False,0
10,0.0,0.99,1000,43,4.05586426984127,nan,False,0
10,0.0,0.99,1000,44,4.109997912698413,nan,False,0
10,0.0,0.99,1000,45,4.042780333333333,nan,False,0
10,0.0,0.99,1000,46,4.034444293650794,nan,False,0
10,0.0,0.9,1000,42,3.8457454592592586,nan,False,0
10,0.0,0.9,1000,43,3.9298356279069764,nan,False,0
10,0.0,0.9,1000,44,3.907501287878788,nan,False,0
10,0.0,0.9,1000,45,3.881561689393939,nan,False,0
10,0.0,0.9,1000,46,3.8807180909090913,nan,False,0
2,0.0,0.95,1000,42,1.2457182809523808,nan,False,0
2,0.0,0.95,1000,43,1.2313513333333335,nan,False,0
2,0.0,0.95,1000,44,1.2487680676328503,nan,False,0
2,0.0,0.95,1000,45,1.2729985809523807,nan,False,0
2,0.0,0.95,1000,46,1.260176961352657,nan,False,0
2,0.0,0.995,1000,42,1.168286257142857,nan,False,0
2,0.0,0.995,1000,43,1.1784635523809526,nan,False,0
2,0.0,0.995,1000,44,1.1513982333333332,nan,False,0
2,0.0,0.995,1000,45,1.2044323142857145,nan,False,0
2,0.0,0.995,1000,46,1.1350019571428571,nan,False,0
2,0.0,0.999,1000,42,1.1266452850241544,nan,False,2
2,0.0,0.999,1000,43,1.163455957746479,nan,False,1
2,0.0,0.999,1000,44,1.0600365416666666,nan,False,1
2,0.0,0.999,1000,45,1.10456017370892,nan,False,2
2,0.0,0.999,1000,46,1.1945389624413147,nan,False,0
2,0.0,0.99,1000,42,1.2498863188405795,nan,False,0
2,0.0,0.99,1000,43,1.211162104761905,nan,False,0
2,0.0,0.99,1000,44,1.2460630333333333,nan,False,0
2,0.0,0.99,1000,45,1.2052705857142856,nan,False,0
2,0.0,0.99,1000,46,1.1678733476190475,nan,False,0
2,0.0,0.9,1000,42,1.2353325217391302,nan,False,0
2,0.0,0.9,1000,43,1.313846942857143,nan,False,0
2,0.0,0.9,1000,44,1.2350592047619045,nan,False,0
2,0.0,0.9,1000,45,1.2472715476190475,nan,False,0
2,0.0,0.9,1000,46,1.2931504734299517,nan,False,0
3,0.0,0.95,1000,42,1.8280900151515151,nan,False,2
3,0.0,0.95,1000,43,1.9179301857923496,nan,False,2
3,0.0,0.95,1000,44,1.968718238888889,nan,False,2
3,0.0,0.95,1000,45,1.8840804247311824,nan,False,2
3,0.0,0.95,1000,46,1.8918973958333334,nan,False,2
3,0.0,0.995,1000,42,1.6571598109452736,nan,False,2
3,0.0,0.995,1000,43,1.2097133333333332,4.14132,True,2
3,0.0,0.995,1000,44,1.5693356069651743,nan,False,2
3,0.0,0.995,1000,45,1.2461913333333332,3.816854,True,2
3,0.0,0.995,1000,46,1.5474372089552237,nan,False,2
3,0.0,0.999,1000,42,1.0628407199999999,nan,False,4
3,0.0,0.999,1000,43,1.1769112820512821,nan,False,2
